AID_ARCHER,00014A9A
AID_ARCHER2,00014AA5
AID_ARCHER2_CH,00014AB1
AID_ARCHER2_DAY,00014AC0
AID_ARCHER2_LO,00014AD0
AID_ARCHER2_NO,00014ADF
AID_ARCHER2_NOS,00014AEE
AID_ARCHER_DAY,00014AFE
AID_ARCHER_LO,00014B0D
AID_ARCHER_NOS,00014B1B
AID_ARCHER_TUT,00014B2A
AID_ARMOR,00014B39
AID_ARMOR_CH,00014B43
AID_ARMOR_DA,00014B50
AID_ARMOR_DAY,00014B5D
AID_ARMOR_GA,00014B6B
AID_ARMOR_KA,00014B78
AID_ARMOR_MA,00014B85
AID_BARBARIAN,00014B92
AID_BARBARIAN2,00014BA0
AID_BARBARIAN2_GA,00014BAF
AID_BARBARIAN2_LA,00014BC1
AID_BARBARIAN_HI,00014BD3
AID_BARBARIAN_IK,00014BE4
AID_BARBARIAN_NE,00014BF5
AID_BARBARIAN_TUT,00014C06
AID_BARBARIAN_ZA,00014C18
AID_BEAST,00014C29
AID_BEASTCA,00014C33
AID_BEASTCA_LA,00014C3F
AID_BEASTCA_LAHOOD,00014C4E
AID_BEASTCA_LAHOOD2,00014C61
AID_BEASTCA_TUT,00014C75
AID_BEASTTI,00014C85
AID_BEASTTI_MO,00014C91
AID_BEASTTI_MOHOOD,00014CA0
AID_BEASTTI_MW,00014CB3
AID_BEAST_LA,00014CC2
AID_BEAST_RE,00014CCF
AID_BIRDCR,00014CDC
AID_BIRDCRN,00014CE7
AID_BIRDCR_CH,00014CF3
AID_BIRDCR_NR,00014D01
AID_BIRDEG,00014D0F
AID_BIRDEGF,00014D1A
AID_BIRDFA,00014D26
AID_BIRDFAT,00014D31
AID_BIRDFA_JA,00014D3D
AID_BIRDFA_VU,00014D4B
AID_BIRDHE,00014D59
AID_BIRDHE_TUT,00014D64
AID_BISHOP,00014D73
AID_BISHOP2,00014D7E
AID_BISHOP2F,00014D8A
AID_BISHOP2_CEF,00014D97
AID_BISHOP2_DAY,00014DA7
AID_BISHOP2_KI,00014DB7
AID_BISHOP2_OL,00014DC6
AID_BISHOP2_TUT,00014DD5
AID_BISHOP_DAY,00014DE5
AID_BISHOP_KI,00014DF4
AID_BISHOP_TUT,00014E02
AID_CAHOOD,00014E11
AID_CAINEGHIS,00014E1C
AID_CAT,00014E2A
AID_CHILD,00014E32
AID_CHILDF,00014E3C
AID_CHILD_IK,00014E47
AID_CHILD_LO,00014E54
AID_CITIZEN,00014E61
AID_CITIZENF,00014E6D
AID_CITIZENGF,00014E7A
AID_CLERIC,00014E88
AID_CLERIC2,00014E93
AID_CROW,00014E9F
AID_CROW_CH,00014EA8
AID_CROW_NE,00014EB4
AID_CROW_NR,00014EC0
AID_DRAGON,00014ECC
AID_DRAGON2,00014ED7
AID_DRAGON2_DAY,00014EE3
AID_DRAGON2_GR,00014EF3
AID_DRAGON2_HA,00014F02
AID_DRAGON2_JI,00014F11
AID_DRAGON2_SH,00014F20
AID_DRAGONBL,00014F2F
AID_DRAGONRE,00014F3C
AID_DRAGONREF,00014F49
AID_DRAGONRE_GO,00014F57
AID_DRAGON_2AS,00014F67
